Symbol,Price,Shares,Avg Cost/share,Day's gain,Day's gain(%),Total gain,Total gain(%),Market value,Change,Change(%),Day Low,Day High,52wk Low,52wk High,Market Cap,Volume,Avg Volume,Mkt Time
CRON,4.08,4.0,16000.0,-63983.68,-0.9997450000000001,-63983.68,-0.9997450000000001,16.32,-0.07999992,-0.019230751,4.052,4.23,3.96,15.83,1.536283136E9,2139221,3092396.0,1639515603000
MJ,11.2,4.0,16000.0,-63955.200001,-0.9993000000000001,-63955.200001,-0.9993000000000001,44.799999,-0.35000038,-0.030303062999999998,11.175,11.57,10.98,34.58,0.0,1295899,1358476.0,1639515600000
JPY=X,113.853,6.0,11000.0,0.006482,0.00108145,-573.684779,-0.98964973,6.0,0.12299347,0.0010814514,113.6,113.9,102.59,115.476,0.0,0,0.0,1639576548000
GBPUSD=X,1.3255568,2.0,1000.0,0.005191,0.00196183,-1997.348886,-0.99867444,2.651114,0.0025954247,0.001961802,1.3224014,1.3282505,1.317471,1.4247247,0.0,0,0.0,1639576511000
^VIX,21.86,8.0,3000.0,12.400009,0.07631713999999999,-23825.119995,-0.99271333,174.880005,1.5500011,0.07631715,21.51,22.15,14.1,37.51,0.0,0,0.0,1639575646000
EURUSD=X,1.1273956,4.0,1000.0,0.00457,0.00101453,-3995.490417,-0.9988726,4.509583,0.001142621,0.0010146229,1.1257458,1.1286682,1.118781,1.2350253,0.0,0,0.0,1639576511000
RTY=F,2159.8,4.0,1000.0,9.200195,0.00106607,4639.200195,1.15980005,8639.200195,2.3000488,0.0010660713,2152.4,2165.8,1878.1,2460.8,0.0,20691,203783.0,1639575944000
NQ=F,15921.75,3.0,1000.0,-9.0,-1.8839E-4,44765.25,14.92175,47765.25,-3.0,-1.8838601E-4,15851.0,15972.75,12207.25,16767.5,0.0,31321,565261.0,1639575945000
YM=F,35541.0,6.0,3666.6666666666665,-66.0,-3.0941E-4,191246.0,8.693,213246.0,-11.0,-3.0940594E-4,35507.0,35622.0,29318.0,36446.0,0.0,8153,178097.0,1639575941000
ES=F,4638.25,2.0,1000.0,2.5,2.6957E-4,7276.5,3.6382499999999998,9276.5,1.25,2.6957083E-4,4630.0,4647.25,3596.0,4740.5,0.0,71000,1538173.0,1639575950000
^GSPC,4634.09,2.0,1000.0,-69.760742,-0.0074706799999999995,7268.179688,3.6340898399999997,9268.179688,-34.88037,-0.0074706775,4606.52,4660.47,3636.48,4743.83,0.0,2454381000,3.179202698E9,1639519737000
^N225,28459.72,2.0,1000.0,0.475694,9.5243E-4,482.363006,27.4597207,499.929209,27.080078,9.524292500000001E-4,28358.47,28525.83,26361.66,30795.78,0.0,0,7.4335E7,1639548902000
EDSA,5.17,2.0,1000.0,-0.4,-0.03724391,-1989.66,-0.99483,10.34,-0.19999981,-0.037243914999999995,5.1,5.37,4.05,12.0,6.8737216E7,117987,3344184.0,1639515604000
AIR,34.93,2.0,1000.0,-0.139999,-0.00199999,-1930.139999,-0.9650700000000001,69.860001,-0.069999695,-0.0019999912,34.81,35.6,30.9,45.49,1.239009024E9,391141,267638.0,1639515602000
COUP,152.82,1.0,1000.0,-1.189987,-0.0077266900000000005,-847.179993,-0.8471799900000001,152.820007,-1.1899872,-0.007726688000000001,149.63,156.865,149.6,377.042,1.1412673536E10,3743889,1473461.0,1639515603000
MANA-CAD,3.9857442,2.0,1000.0,-0.136339,-0.0215571,-1546.401905,-0.99601426,6.188275,-0.08781409,-0.02155707,3.938937,698.9221,0.462743,698.9221,7.272370688E9,784611840,2.438403429E9,1639576490000
